A/Moscow/39/2017	EPI1038761	EPI1038762	EPI1038760	EPI1038764	EPI1038757	EPI1038763		EPI1038757
351467								
A/Argentina/872/2017	EPI1048065	EPI1048066	EPI1048064	EPI1048068	EPI1048061	EPI1048067		EPI1048061
A/StPetersburg/RII925S/2016	EPI886106	EPI886107	EPI886105	EPI886109	EPI886102	EPI886108		EPI886102
A/StPetersburg/302/2017				EPI1043080		EPI1043081		
A/Maldives/175/2017	EPI993903	EPI993904	EPI993902	EPI993906	EPI993899	EPI993905		EPI993899
A/Maldives/158/2017	EPI993895	EPI993896	EPI993894	EPI993898	EPI993891	EPI993897		EPI993891
A/Maldives/505/2017	EPI993919	EPI993920	EPI993918	EPI993922	EPI993915	EPI993921		EPI993915
A/Maldives/499/2017	EPI993911	EPI993912	EPI993910	EPI993914	EPI993907	EPI993913		EPI993907
A/Maldives/594/2017	EPI993934	EPI993935	EPI993933	EPI993937	EPI993931	EPI993936		EPI993931
362598								
350569								
352477								
350633								
362444								
350064								
362450								
351180								
350374								
350292								
350380								
350381								
350643								
350826								
A/Basel/USB0023426/2017						EPI1570169		
350556								
362293								
362415								
362726								
350613								
350255								
19480456								
350305								
350304								
351695								
351670								
A/Basel/USB0027716/2017						EPI1570337		
352056								
350147								
19468778								
350433								
19486298								
350798								
350611								
352590								
350908								
350746								
350772								
A/Kaliningrad/21/2017	EPI1042527	EPI1042528	EPI1042526	EPI1042530	EPI1042523	EPI1042529		EPI1042523
A/Kenya/2/2017				EPI1073210		EPI1073238		
A/HongKong/237/2017	EPI918289	EPI918290	EPI918288	EPI918292	EPI918285	EPI918291		EPI918285
A/Moscow/98/2017				EPI1054519		EPI1054520		
A/Jordan/20655/2016				EPI887391		EPI887392		
A/Lebanon/2187/2016	EPI955756	EPI955757	EPI955755	EPI955759	EPI955752	EPI955758		EPI955752
